GO	description	category	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
GO:0006044	N-acetylglucosamine metabolic process	biological process	1	0	4	2	16	11	55	26	25	19	23	45	38	37	54	41	50	90	71	52	45	49	90
GO:0006051	N-acetylmannosamine metabolic process	biological process	0	0	0	0	12	8	35	14	30	24	28	67	70	86	28	14	22	67	60	64	36	61	133
GO:0006064	glucuronate catabolic process	biological process	0	0	1	0	114	131	461	199	633	646	724	910	910	917	364	373	384	2205	2226	2086	531	627	1528
GO:0006071	glycerol metabolic process	biological process	122	153	207	0	533	628	2831	787	1409	1355	1228	4346	4174	4138	2142	2105	2127	2927	2860	2833	3213	7778	8201
GO:0006072	glycerol-3-phosphate metabolic process	biological process	797	757	1303	747	236	276	1325	322	363	376	355	540	545	511	1095	1036	1017	1960	1875	1815	380	645	1103
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	biological process	0	0	0	0	0	0	0	0	0	1	0	2	2	1	2	7	7	24	12	23	0	2	11
GO:0006080	substituted mannan metabolic process	biological process	0	0	0	0	4	2	9	3	5	7	8	7	3	12	5	4	5	23	28	27	0	0	2
GO:0006084	acetyl-CoA metabolic process	biological process	1	0	0	0	78	65	378	123	263	245	235	347	402	353	312	325	306	838	861	828	327	545	742
GO:0006089	lactate metabolic process	biological process	1	0	0	0	1	0	6	3	8	11	6	78	55	39	0	1	2	82	79	85	7	5	165
GO:0006091	generation of precursor metabolites and energy	biological process	0	0	0	0	1	2	15	5	11	8	6	32	40	33	60	63	62	119	130	119	37	85	75
GO:0006094	gluconeogenesis	biological process	2037	2657	4849	2862	1396	1563	7406	2125	6080	6135	5918	9246	9207	9165	10719	10895	10615	25170	25679	25046	11638	21364	31278
GO:0006096	glycolytic process	biological process	12456	11648	21396	11627	2445	2738	12775	4601	9431	9480	9216	14161	13847	13544	26944	26545	26106	48615	48674	47988	14360	26006	45226
GO:0006097	glyoxylate cycle	biological process	752	1115	2122	1507	279	309	1340	471	1476	1481	1487	2286	2215	2182	1581	1644	1679	7003	6757	6921	2150	4322	5803
GO:0006098	pentose-phosphate shunt	biological process	986	887	1772	920	206	214	1168	375	641	666	648	1313	1278	1335	1743	1679	1586	2473	2475	2479	1527	3513	3436
GO:0006099	tricarboxylic acid cycle	biological process	7187	6513	12044	6861	960	1155	5169	1391	3506	3538	3468	5303	5445	5108	12551	12646	12458	35184	35051	34031	5263	9280	17808
GO:0006106	fumarate metabolic process	biological process	0	1	0	1	9	2	25	9	34	23	22	16	16	11	59	53	58	75	105	82	22	30	81
GO:0006108	malate metabolic process	biological process	15	22	37	8	110	132	586	170	110	86	102	303	250	247	284	269	295	365	322	346	170	383	370
GO:0006109	regulation of carbohydrate metabolic process	biological process	888	914	1728	984	147	128	546	260	514	504	494	642	653	682	1848	1797	1838	3485	3303	3390	505	795	1656
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	biological process	262	257	431	273	41	59	307	83	91	103	96	194	206	185	546	569	477	384	398	350	73	133	168
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological process	0	0	0	0	0	0	2	2	4	2	4	2	2	2	5	4	4	11	6	5	4	7	18
GO:0006139	nucleobase-containing compound metabolic process	biological process	5295	4840	8855	4884	1153	1353	6465	2473	3884	3880	3913	5464	5401	5169	11015	11156	10838	18431	18169	17963	4393	7954	12495
GO:0006144	purine nucleobase metabolic process	biological process	0	5	2	0	3	4	14	3	4	3	3	5	7	5	2	1	2	12	9	12	0	2	1
GO:0006163	purine nucleotide metabolic process	biological process	50	29	68	44	4	3	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006164	purine nucleotide biosynthetic process	biological process	7421	6542	12031	6276	1221	1392	6652	2225	4515	4477	4329	6225	6282	6261	15178	15145	15175	23171	23294	22640	7217	12617	20117
GO:0006165	nucleoside diphosphate phosphorylation	biological process	1124	924	1786	971	220	217	977	501	870	806	863	1234	1099	1125	3024	2892	2866	3912	4007	3852	1664	2980	5296
GO:0006166	purine ribonucleoside salvage	biological process	13	10	26	14	2	7	19	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0006168	adenine salvage	biological process	12	8	18	3	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006171	cAMP biosynthetic process	biological process	0	0	0	0	5	0	16	7	21	18	17	4	5	3	67	74	63	963	944	980	26	27	399
GO:0006177	GMP biosynthetic process	biological process	873	826	1467	768	147	193	839	269	593	574	580	717	743	799	1792	1722	1801	2790	2791	2814	1032	1906	2809
GO:0006182	cGMP biosynthetic process	biological process	12	26	19	17	12	3	48	23	63	57	40	24	25	21	14	11	16	29	33	21	13	27	32
GO:0006183	GTP biosynthetic process	biological process	1124	924	1786	971	220	217	977	501	870	806	863	1234	1099	1125	3024	2892	2866	3912	4007	3852	1664	2980	5296
GO:0006188	IMP biosynthetic process	biological process	167	266	521	362	52	46	241	142	318	294	309	261	305	254	816	839	834	1975	2120	2042	218	290	1206
GO:0006189	'de novo' IMP biosynthetic process	biological process	2918	2399	4496	2339	349	400	1805	508	1044	1076	1036	1283	1342	1318	4008	3930	3767	6015	6095	5837	1700	2689	4703
GO:0006190	inosine salvage	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	12	7	7	0	0	6
GO:0006198	cAMP catabolic process	biological process	43	60	131	96	7	6	34	7	16	16	18	14	19	15	45	39	40	225	223	233	9	7	25
GO:0006206	pyrimidine nucleobase metabolic process	biological process	0	0	0	0	20	30	190	58	93	55	80	125	116	148	159	155	173	371	311	329	61	102	233
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	biological process	2330	2082	3887	2353	373	413	2083	646	855	846	767	976	1030	1033	2697	2673	2609	4218	4094	3893	627	935	1728
GO:0006213	pyrimidine nucleoside metabolic process	biological process	28	9	28	9	95	80	397	152	302	242	279	492	456	441	491	461	474	751	713	716	398	799	1051
GO:0006221	pyrimidine nucleotide biosynthetic process	biological process	2092	1710	3063	1633	310	350	1696	676	1624	1699	1655	2268	2225	2201	5815	5766	5749	7878	7970	7814	3101	5425	10244
GO:0006228	UTP biosynthetic process	biological process	1124	924	1786	971	220	217	977	501	870	806	863	1234	1099	1125	3024	2892	2866	3912	4007	3852	1664	2980	5296
GO:0006229	dUTP biosynthetic process	biological process	27	35	63	66	9	16	94	26	3	0	6	8	9	14	11	14	9	22	13	22	0	0	0
GO:0006231	dTMP biosynthetic process	biological process	628	618	1138	716	193	232	1018	689	498	495	459	679	658	659	1183	1235	1129	1650	1639	1608	392	888	1637
GO:0006233	dTDP biosynthetic process	biological process	442	345	629	311	52	85	330	106	134	116	118	229	250	178	501	542	522	439	521	460	197	367	484
GO:0006241	CTP biosynthetic process	biological process	1124	924	1786	971	220	217	977	501	870	806	863	1234	1099	1125	3024	2892	2866	3912	4007	3852	1664	2980	5296
GO:0006259	DNA metabolic process	biological process	3683	3202	5962	3230	716	810	3846	2518	3314	3183	3127	4310	4326	4003	8583	8811	8625	14415	14115	14040	5304	9600	17468
GO:0006260	DNA replication	biological process	61629	55137	81501	32973	6285	6630	46282	17964	18287	18011	17504	24006	23488	23001	53039	52961	52127	82196	81798	80764	33060	61294	110799
GO:0006261	DNA-dependent DNA replication	biological process	1407	1294	2575	1388	289	300	1555	718	706	738	688	1073	1035	921	2365	2352	2289	3452	3267	3216	227	404	716
GO:0006265	DNA topological change	biological process	17109	15141	28214	16080	2945	3337	16125	6832	13535	13111	12734	17625	17562	17008	37444	38303	36777	63001	61559	61264	18126	31640	60836
GO:0006269	DNA replication, synthesis of RNA primer	biological process	66	90	173	168	11	10	60	20	20	19	11	19	28	15	83	80	106	366	342	340	5	14	54
GO:0006270	DNA replication initiation	biological process	950	735	1331	771	205	187	998	655	837	827	810	1190	1100	1114	3541	3374	3328	3573	3630	3431	1285	2108	4829
GO:0006274	DNA replication termination	biological process	0	0	0	0	0	0	1	1	2	5	1	1	1	0	1	1	0	22	23	33	0	2	163
GO:0006275	regulation of DNA replication	biological process	950	734	1331	771	173	156	882	608	705	732	701	956	926	928	2090	1982	2061	3158	3155	3007	1197	2003	4269
GO:0006276	plasmid maintenance	biological process	0	0	0	0	18	18	68	31	51	45	52	64	57	63	191	190	199	536	555	475	16	11	103
GO:0006278	RNA-dependent DNA biosynthetic process	biological process	0	0	0	0	38	33	163	87	116	87	104	94	83	89	149	182	122	354	353	272	46	97	129
GO:0006281	DNA repair	biological process	18826	17050	31587	17170	4269	4747	22505	9507	14871	14725	14634	20772	20192	19882	42597	42375	41720	69828	69388	68556	22870	41163	71708
GO:0006282	regulation of DNA repair	biological process	701	649	1186	638	83	110	423	209	342	334	316	427	462	471	741	742	704	1662	1644	1578	303	630	949
GO:0006284	base-excision repair	biological process	3923	3191	6321	3319	836	957	4405	1389	2121	2190	2163	3600	3359	3412	7510	7300	7345	10576	10597	10324	3047	5860	7647
GO:0006289	nucleotide-excision repair	biological process	368	385	726	435	205	240	1115	349	522	448	490	860	824	804	1248	1323	1250	1951	1899	1864	789	1575	2693
GO:0006298	mismatch repair	biological process	8416	7132	13070	7250	1071	1106	5265	2057	5482	5384	5317	6445	6134	6286	15725	15636	15135	22060	22006	21541	6490	11628	16805
GO:0006302	double-strand break repair	biological process	65	58	132	96	4	4	27	13	29	27	23	77	67	71	78	85	74	63	55	58	14	65	64
GO:0006303	double-strand break repair via nonhomologous end joining	biological process	0	0	0	1	65	92	393	104	110	105	108	292	253	274	268	277	274	955	955	891	9	16	62
GO:0006304	DNA modification	biological process	3987	3372	5758	2904	580	617	2732	1159	1306	1234	1179	1753	1745	1550	5547	5805	5512	5427	5273	5139	1165	2134	3201
GO:0006306	DNA methylation	biological process	9435	7304	13480	6805	1613	1811	8210	6289	4847	4848	4632	6194	6037	5787	15423	14780	14899	15831	15725	15351	5322	9536	16542
GO:0006308	DNA catabolic process	biological process	769	703	1270	711	149	142	744	241	427	441	428	652	588	597	1363	1321	1275	2242	2182	2188	589	1102	1789
GO:0006309	apoptotic DNA fragmentation	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0006310	DNA recombination	biological process	11922	11473	20970	12079	4942	5187	24891	11649	14030	13740	13146	21424	20573	20244	41388	41329	40130	69145	68558	66577	18169	32099	59590
GO:0006313	transposition, DNA-mediated	biological process	8051	9109	16630	11289	3198	3161	15074	5464	8680	8640	8139	14849	14733	14313	34493	34353	33283	40012	39400	37848	11277	22585	36510
GO:0006323	DNA packaging	biological process	0	0	0	0	80	62	301	1413	116	109	121	174	189	165	141	181	170	237	247	253	91	150	952
GO:0006333	chromatin assembly or disassembly	biological process	0	0	0	0	1	0	1	5	3	4	0	0	0	0	1	1	3	6	6	14	2	12	35
GO:0006334	nucleosome assembly	biological process	1	1	2	1	5	3	19	34	12	12	10	2	4	6	8	12	7	38	28	36	1	22	33
GO:0006338	chromatin remodeling	biological process	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	1	2	11	7	8	1	8	7
GO:0006348	chromatin silencing at telomere	biological process	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	1	1	3	4	4	2	0	2
GO:0006351	transcription, DNA-templated	biological process	16594	13652	25632	14900	2528	2708	13397	6557	11175	11224	10914	16103	15463	15247	38857	38896	37933	55006	54687	53742	16952	29810	59505
GO:0006352	DNA-templated transcription, initiation	biological process	19551	17091	31685	18218	3862	4175	20089	7112	13933	13388	13419	18124	17871	17158	36479	36677	35692	54599	54364	53263	17093	29302	43436
GO:0006353	DNA-templated transcription, termination	biological process	1305	1060	2020	1176	188	210	1079	378	801	792	758	1149	1111	1127	2439	2460	2326	3505	3590	3585	1256	2281	3376
GO:0006355	regulation of transcription, DNA-templated	biological process	83082	76543	140751	81428	15309	16903	79511	26376	53694	52916	52059	78751	76810	75094	148445	148016	145155	301663	298690	294128	71081	121535	191473
GO:0006357	regulation of transcription from RNA polymerase II promoter	biological process	0	0	0	0	0	2	1	7	0	1	0	0	3	1	4	1	4	12	8	10	4	8	7
GO:0006359	regulation of transcription from RNA polymerase III promoter	biological process	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	6	5	8	0	6	17
GO:0006364	rRNA processing	biological process	5752	5144	10048	5572	1088	1211	5862	2032	3724	3602	3507	5089	4916	4812	11301	11624	10957	19893	19920	19531	3581	6253	11418
GO:0006366	transcription from RNA polymerase II promoter	biological process	0	0	0	0	0	0	0	7	1	0	1	2	0	4	1	2	3	7	12	8	2	8	20
GO:0006367	transcription initiation from RNA polymerase II promoter	biological process	8	4	8	1	15	52	192	48	46	36	24	114	84	122	48	59	39	149	139	137	102	202	315
GO:0006368	transcription elongation from RNA polymerase II promoter	biological process	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	9	7	6	1	3	5
GO:0006370	7-methylguanosine mRNA capping	biological process	0	0	0	0	0	0	1	7	0	1	0	0	2	0	6	4	1	5	5	4	2	4	13
GO:0006376	mRNA splice site selection	biological process	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	1	1	3	0	8	2
GO:0006378	mRNA polyadenylation	biological process	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3
GO:0006379	mRNA cleavage	biological process	0	0	0	0	0	1	2	3	1	2	2	2	4	3	47	42	47	26	21	23	1	5	29
GO:0006383	transcription from RNA polymerase III promoter	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	biological process	0	0	0	0	23	16	124	77	108	113	105	183	162	188	175	183	184	365	361	334	82	219	261
GO:0006396	RNA processing	biological process	11754	10807	19322	10594	1824	2100	9936	3820	6507	6339	6154	8829	8581	8476	20083	19860	19223	30927	30493	29945	7561	14604	24088
GO:0006397	mRNA processing	biological process	0	0	0	0	0	3	7	15	9	8	11	7	11	13	23	19	14	52	46	35	16	29	82
GO:0006400	tRNA modification	biological process	3222	2827	5337	2708	700	735	3495	1576	3415	3300	3225	4305	4237	4218	8449	8678	8579	14854	14575	14525	5527	10345	18547
GO:0006401	RNA catabolic process	biological process	0	0	0	0	41	35	215	97	211	211	210	303	271	292	475	421	485	718	743	758	288	516	745
GO:0006402	mRNA catabolic process	biological process	536	391	773	321	48	46	227	171	258	275	283	454	455	498	1010	1027	1003	1337	1358	1264	300	538	1157
GO:0006406	mRNA export from nucleus	biological process	0	0	0	0	0	0	0	1	0	1	0	3	0	0	5	0	6	5	1	1	3	1	11
GO:0006412	translation	biological process	37271	31743	60330	35390	6951	7694	36249	15794	27718	27630	27105	38130	37101	36688	84311	84136	82772	126965	126994	124043	43801	77278	147833
GO:0006413	translational initiation	biological process	2359	1993	3874	2395	424	489	2212	907	1832	1861	1821	2338	2386	2374	5779	5730	5753	8942	8904	8696	3034	5269	9803
GO:0006414	translational elongation	biological process	2061	1800	3270	1861	411	444	2206	853	1667	1687	1593	2260	2237	2255	4749	4634	4475	6919	7271	6771	2374	4179	7302
GO:0006415	translational termination	biological process	4822	4430	7844	4393	829	901	4361	1768	3296	3202	3136	4300	4189	4012	10025	9624	9839	14560	14647	14411	4730	8283	15320
GO:0006418	tRNA aminoacylation for protein translation	biological process	36758	32956	59151	31515	6321	7094	32522	14018	25712	24555	24182	34906	34150	33194	79357	79404	77496	115723	115086	113068	33635	59536	110584
GO:0006419	alanyl-tRNA aminoacylation	biological process	3523	3093	5553	2997	655	810	3619	1497	3096	2937	2979	3970	4017	3900	9053	8943	8778	13509	13465	13313	4393	7530	13050
GO:0006420	arginyl-tRNA aminoacylation	biological process	2582	2345	4254	2357	519	523	2538	1111	1581	1535	1517	2150	2078	2030	4986	4789	4826	7767	7543	7526	1816	3062	6996
GO:0006423	cysteinyl-tRNA aminoacylation	biological process	608	494	1009	583	69	88	417	175	267	257	235	365	315	315	836	880	885	1361	1306	1266	324	497	882
GO:0006425	glutaminyl-tRNA aminoacylation	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0006426	glycyl-tRNA aminoacylation	biological process	5343	4772	9074	4602	539	635	2917	964	2883	2825	2735	3982	3888	3800	10693	10708	10489	15844	16029	15616	3399	6265	9506
GO:0006428	isoleucyl-tRNA aminoacylation	biological process	261	219	370	241	20	26	83	42	17	12	17	16	24	17	139	117	123	150	123	130	0	0	0
GO:0006429	leucyl-tRNA aminoacylation	biological process	1254	1097	2093	1173	233	241	1152	524	265	238	218	416	410	404	1108	1133	1141	1536	1435	1413	18	16	53
GO:0006430	lysyl-tRNA aminoacylation	biological process	715	581	1136	651	124	160	643	271	428	368	340	535	459	477	1098	1111	1076	1758	1756	1657	309	551	852
GO:0006431	methionyl-tRNA aminoacylation	biological process	769	692	1149	616	91	129	559	188	58	42	53	104	79	80	391	340	346	300	348	300	0	0	2
GO:0006432	phenylalanyl-tRNA aminoacylation	biological process	995	1084	1975	1232	357	424	1871	697	1287	1336	1251	1739	1771	1697	2994	3209	3032	5593	5582	5649	1927	3591	6183
GO:0006433	prolyl-tRNA aminoacylation	biological process	610	567	1020	634	107	95	464	228	321	306	302	354	364	320	857	883	799	1284	1270	1198	272	473	893
GO:0006434	seryl-tRNA aminoacylation	biological process	992	865	1567	802	138	169	793	372	353	375	367	495	484	492	1434	1427	1389	2108	2089	2078	343	555	1382
GO:0006435	threonyl-tRNA aminoacylation	biological process	828	680	1400	882	180	175	841	347	185	183	178	367	346	307	766	803	764	1045	989	957	23	35	87
GO:0006436	tryptophanyl-tRNA aminoacylation	biological process	367	341	596	393	75	79	351	134	28	19	12	54	41	38	120	114	129	137	116	109	0	0	1
GO:0006437	tyrosyl-tRNA aminoacylation	biological process	665	520	1070	571	106	130	450	191	172	147	146	217	202	224	586	561	552	873	841	783	46	64	184
GO:0006438	valyl-tRNA aminoacylation	biological process	866	822	1493	809	135	125	624	235	346	325	327	452	481	427	1180	1125	1092	1630	1593	1555	366	585	918
GO:0006446	regulation of translational initiation	biological process	0	0	0	0	0	0	0	1	0	1	0	2	3	1	1	1	2	3	4	2	0	1	2
GO:0006450	regulation of translational fidelity	biological process	699	572	1022	587	105	100	481	203	269	272	245	383	381	373	1010	1022	960	1329	1275	1313	267	512	810
GO:0006452	translational frameshifting	biological process	0	0	0	0	1	0	1	4	7	5	2	0	4	1	38	28	35	27	21	17	1	9	50
GO:0006457	protein folding	biological process	11150	9949	18194	10493	2177	2353	10921	4380	8286	8233	7994	11032	10799	10919	25131	25207	24922	43160	42455	41704	10123	17307	32086
GO:0006461	protein complex assembly	biological process	664	647	1192	615	36	57	208	47	136	141	126	236	253	233	597	596	578	1037	1049	1067	168	228	479
GO:0006464	cellular protein modification process	biological process	1979	1652	3242	1672	301	292	1425	461	619	596	615	806	739	815	1822	1794	1739	3215	3105	3057	554	871	1709
GO:0006465	signal peptide processing	biological process	1	2	4	0	5	4	26	16	1	1	0	1	2	5	11	10	6	12	11	10	1	5	16
GO:0006468	protein phosphorylation	biological process	2758	2647	4986	3087	3739	3999	18889	5791	10137	9857	9745	11473	10936	10922	20098	19667	19013	14926	14670	14022	7494	15885	17066
GO:0006470	protein dephosphorylation	biological process	505	417	826	438	88	85	421	201	154	153	140	257	236	242	583	597	599	607	563	522	142	495	590
GO:0006471	protein ADP-ribosylation	biological process	0	0	0	0	7	0	19	11	7	12	14	9	7	7	21	15	14	5	10	11	10	36	70
GO:0006474	N-terminal protein amino acid acetylation	biological process	30	39	85	59	7	9	49	13	1	0	1	1	0	2	4	6	5	10	15	12	0	0	0
GO:0006479	protein methylation	biological process	86	54	146	116	6	10	51	16	5	3	2	4	1	4	9	21	15	34	31	24	3	9	43
GO:0006480	N-terminal protein amino acid methylation	biological process	20	13	25	10	2	1	0	1	3	1	2	1	1	3	22	11	33	5	14	5	0	6	15
GO:0006481	C-terminal protein methylation	biological process	248	193	329	142	38	41	187	60	208	204	214	266	287	244	282	325	304	512	528	545	175	374	431
GO:0006486	protein glycosylation	biological process	0	0	0	0	11	12	31	54	42	28	48	48	53	46	177	142	161	216	222	208	29	116	189
GO:0006487	protein N-linked glycosylation	biological process	0	0	0	0	1	2	6	35	4	2	3	6	6	10	15	22	13	44	40	45	12	23	67
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	biological process	0	0	0	0	5	0	4	3	7	4	9	2	0	3	5	5	5	12	14	7	4	8	32
GO:0006493	protein O-linked glycosylation	biological process	419	365	557	309	56	69	315	147	61	81	61	237	228	212	576	558	535	503	469	481	24	40	89
GO:0006506	GPI anchor biosynthetic process	biological process	0	0	1	0	3	4	13	16	6	10	6	7	9	8	18	12	17	33	46	38	5	13	61
GO:0006508	proteolysis	biological process	53108	46917	85713	46901	12520	13064	62563	22860	41195	39889	38794	54789	53374	52422	108190	107010	104308	175155	174154	170257	43437	79240	116674
GO:0006511	ubiquitin-dependent protein catabolic process	biological process	0	0	1	0	3	5	18	28	18	23	18	17	11	12	122	142	129	213	204	192	37	123	430
GO:0006516	glycoprotein catabolic process	biological process	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006517	protein deglycosylation	biological process	3	9	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006518	peptide metabolic process	biological process	0	0	0	0	1	1	1	1	1	0	2	0	0	1	0	0	0	0	2	0	0	0	0
GO:0006520	cellular amino acid metabolic process	biological process	12517	11178	19992	10526	2401	2687	12480	4091	10020	9747	9727	14833	14434	14322	27640	27788	27498	45110	44955	43808	14558	27028	38485
GO:0006522	alanine metabolic process	biological process	1468	1210	2237	1200	216	224	1021	382	258	222	217	386	329	319	1047	1121	1007	1462	1395	1357	88	173	318
GO:0006523	alanine biosynthetic process	biological process	975	865	1524	879	86	114	545	160	295	242	257	370	380	365	1096	1144	1114	1667	1726	1780	698	1431	1989
GO:0006525	arginine metabolic process	biological process	0	0	2	0	44	74	301	89	231	219	253	184	168	153	878	876	867	3546	3454	3358	290	553	1494
GO:0006526	arginine biosynthetic process	biological process	6036	5543	9688	5559	721	898	4132	1128	2571	2589	2474	5029	4800	4800	11352	11078	10997	16298	16301	16047	4672	9160	11840
GO:0006527	arginine catabolic process	biological process	996	799	1336	693	98	81	462	163	332	324	290	467	420	412	1966	1931	1842	5236	5172	5285	307	452	1220
GO:0006529	asparagine biosynthetic process	biological process	6028	5268	9731	5778	764	779	3757	1143	2924	2939	2799	3115	3019	3064	12202	12202	11862	11319	11084	10780	3171	5378	7916
GO:0006535	cysteine biosynthetic process from serine	biological process	554	638	1004	505	130	149	671	234	434	421	431	604	592	596	988	999	909	2052	2033	1996	411	727	1141
GO:0006537	glutamate biosynthetic process	biological process	3203	2894	5446	3067	543	672	3265	790	1934	1927	1850	3033	2979	3096	4998	5023	4963	10792	10924	10796	3947	7084	10446
GO:0006541	glutamine metabolic process	biological process	1356	1034	1901	843	281	377	1695	472	1224	1174	1154	2544	2450	2362	2803	2686	2511	5030	4770	4769	1828	3875	5138
GO:0006542	glutamine biosynthetic process	biological process	1000	1013	2015	1077	207	274	1185	339	723	636	709	1392	1347	1383	2453	2456	2290	4595	4445	4162	1355	2358	3495
GO:0006544	glycine metabolic process	biological process	390	405	687	393	55	52	268	117	210	179	161	294	243	240	662	676	675	945	1027	1006	189	362	727
GO:0006545	glycine biosynthetic process	biological process	249	351	650	471	112	132	608	368	584	540	512	685	754	680	1042	1090	1037	2832	2909	2840	658	1178	2640
GO:0006546	glycine catabolic process	biological process	2969	2855	4923	2640	437	544	2515	797	2050	2018	1967	2766	2695	2801	6325	6459	6104	9702	9647	9270	2913	5305	7635
GO:0006547	histidine metabolic process	biological process	1	0	0	0	0	0	4	0	0	2	2	0	0	0	0	1	1	2	3	0	0	0	3
GO:0006555	methionine metabolic process	biological process	1487	1148	2159	1232	370	407	1796	465	1108	1063	980	1457	1289	1320	2911	2867	2809	5684	5851	5725	1310	1963	3568
GO:0006556	S-adenosylmethionine biosynthetic process	biological process	3164	2625	4894	2614	532	566	2795	923	2241	2299	2335	3050	3012	2985	8158	8231	7838	10517	10588	10522	3789	6655	10314
GO:0006559	L-phenylalanine catabolic process	biological process	760	646	1122	623	73	85	418	145	393	400	387	499	517	471	425	419	393	3210	3241	3100	473	639	1603
GO:0006561	proline biosynthetic process	biological process	2217	1820	3445	2143	233	281	1179	349	322	262	250	511	501	509	1460	1320	1330	2253	2232	2129	242	439	605
GO:0006563	L-serine metabolic process	biological process	390	405	687	393	55	52	268	117	210	179	161	294	243	240	662	676	675	945	1027	1006	189	362	727
GO:0006564	L-serine biosynthetic process	biological process	129	201	390	235	44	65	289	75	162	180	163	358	341	307	368	414	420	1261	1155	1238	292	511	980
GO:0006566	threonine metabolic process	biological process	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006568	tryptophan metabolic process	biological process	4160	3887	6824	3552	593	731	3381	810	2043	1956	1885	2818	2836	2786	6762	6878	6832	10475	10471	10139	2573	4774	7127
GO:0006570	tyrosine metabolic process	biological process	760	646	1122	623	73	85	418	145	393	400	387	499	517	471	425	419	393	3210	3241	3100	473	639	1603
GO:0006571	tyrosine biosynthetic process	biological process	1678	1414	2612	1496	219	262	1247	329	571	573	547	1020	1002	1010	2575	2528	2515	3954	3777	3884	514	759	1177
GO:0006576	cellular biogenic amine metabolic process	biological process	1	0	0	0	6	5	20	5	4	2	3	13	13	19	3	3	2	16	15	13	18	33	51
GO:0006582	melanin metabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	1	1	0	0	0
GO:0006596	polyamine biosynthetic process	biological process	170	243	404	352	18	17	75	28	9	9	4	39	23	26	45	40	34	107	116	80	0	1	1
GO:0006597	spermine biosynthetic process	biological process	0	0	0	0	3	3	19	13	6	4	6	0	1	2	30	38	22	7	10	14	7	6	21
GO:0006605	protein targeting	biological process	3336	2770	5542	3114	417	526	2255	985	1265	1200	1183	1738	1631	1546	4703	4731	4589	7444	7385	6972	1217	2004	3881
GO:0006606	protein import into nucleus	biological process	0	0	2	0	1	0	0	1	2	0	0	2	0	0	3	0	1	7	8	10	2	6	14
GO:0006611	protein export from nucleus	biological process	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	1
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	biological process	5943	5281	9664	5394	946	1073	4905	1515	3958	3894	3789	5200	5185	5051	10636	10664	10284	17608	17985	17423	6291	10716	15922
GO:0006621	protein retention in ER lumen	biological process	0	0	0	0	0	0	2	2	0	3	3	0	1	2	3	4	3	5	15	10	1	13	29
GO:0006626	protein targeting to mitochondrion	biological process	0	0	0	0	0	1	1	1	2	2	0	1	0	0	4	4	0	10	5	3	0	0	0
GO:0006629	lipid metabolic process	biological process	5825	5633	10220	5798	1640	1804	8635	2485	4170	4118	4213	5541	5265	5012	8712	8712	8356	18695	18611	18203	4291	7931	11967
GO:0006631	fatty acid metabolic process	biological process	2136	2180	3857	1860	1100	1205	5546	1686	4075	4080	4007	5703	5483	5405	8131	8135	7978	18076	17743	17734	5746	9412	15039
GO:0006633	fatty acid biosynthetic process	biological process	8006	7531	13929	7789	1406	1463	7125	2179	4536	4324	4291	5420	5312	5285	15030	14786	14473	23493	22907	22643	5126	8210	12816
GO:0006635	fatty acid beta-oxidation	biological process	0	0	0	0	6	5	17	9	8	10	4	32	28	21	15	18	16	77	91	61	4	10	20
